シーン名,話者ID,会話ID,日本語１,日本語２,日本語３,日本語４,日本語５,中学生英語１,中学生英語２,中学生英語３,中学生英語４,中学生英語５,ネイティブ英語１,ネイティブ英語２,ネイティブ英語３,ネイティブ英語４,ネイティブ英語５
落とし物を渡す,B,2,職員室に届けた方がいいね。,職員室に持ってこう。,先生に渡そう。,職員室に届けるべきですね。,職員室だね。,We should take it to the office.,Let’s give it to the teacher room.,Better turn it in.,Take to office.,We must report it.,Let’s hand it in at the staff room.,We should drop it off at the office.,Let’s turn it in.,Better hand it over to the staff.,Office is the place to leave it.
落とし物を渡す,A,3,じゃあ一緒に行ってくれる？,一緒に行こ？,一緒に来てくれる？,では一緒に行っていただけますか？,一緒に来て。,Can you come with me?,Come together?,Walk with me?,Join me?,Come along?,Mind coming with me?,Walk with me?,Can you tag along?,Come with?,Walk over with me?
落とし物を渡す,B,4,もちろん。,いいよ。,もちろん！,もちろんです。,OK！,Sure.,Okay.,No problem.,Yes.,Sure thing.,Of course.,Sure thing.,Absolutely.,Yep.,Sure.
落とし物を渡す,A,5,持ち主見つかるといいね。,持ち主見つかるといいな。,持ち主帰ってくるといいね。,持ち主が見つかるといいですね。,返るといいね。,Hope the owner gets it back.,Owner will be happy.,Hope it returns.,Hope owner is found.,Wish the person luck.,Hope it gets back to the owner.,Hope the owner’s relieved.,Hope they get it back soon.,Fingers crossed for the owner.,Hope it’s reunited quickly.
落とし物を渡す,B,6,うん、早く戻るといい。,うん、早く戻るといいね。,そうだね、早く返せるといい。,ええ、早く戻ると良いですね。,うん、早く戻るといいな。,"Yes, I hope so.",Right.,Same here.,Yes.,Yes.,"Yeah, ASAP.",Me too.,Same here.,Totally.,Yeah.
誕生日を祝う,A,1,誕生日おめでとう！,ハッピーバースデー！,お誕生日おめでとう！,お誕生日おめでとうございます！,誕生日おめ！,Happy birthday!,Birthday greetings!,Congrats on your birthday.,Happy b-day!,"Hey, happy birthday.",Happy birthday!,Birthday cheers to you!,"Hey, happy birthday!","Congrats, birthday kid!","Happy birthday, my friend!"
誕生日を祝う,B,2,ありがとう！覚えててくれたんだ。,ありがとう！覚えてたんだ。,ありがとう！覚えてくれたの？,ありがとうございます！覚えていてくださったんですね。,ありがとう！覚えてた？,Thanks! You remembered.,Thank you!,Thanks a lot.,Thank you!,Thanks!,Thanks—you remembered!,Thank you so much.,"Aw, thanks!",Thanks a ton.,Thank you!
誕生日を祝う,A,3,放課後ケーキ食べに行こうよ。,放課後ケーキ行こう！,ケーキ食べに行こ？,放課後ケーキを食べに行きましょう。,ケーキ行こう。,Let’s eat cake after school.,Cake later?,Cake after class?,Cake shop later?,Let’s get cake after school.,How about some cake after class?,Cake run after school?,Want to grab cake later?,Cake this afternoon?,Let’s celebrate with cake after school.
誕生日を祝う,B,4,いいね、楽しみ！,いいね、楽しみ！,いいね、楽しみ！,いいですね、楽しみです。,いいね、楽しみ～。,Sounds fun.,Yes!,Sure.,Great idea.,Okay!,"Absolutely, can’t wait.",I’m in.,"Yes, please.",Sounds perfect.,Great plan.
誕生日を祝う,A,5,プレゼントも用意したよ。,プレゼントあるよ。,プレゼント持ってきた！,プレゼントも用意しました。,プレゼントあるぜ。,"I have a gift, too.",Got you a present.,Gift inside my bag.,Present ready.,I brought a gift.,"I’ve got a little present, too.",Got you a gift as well.,Present’s ready for you.,I brought you something.,I have a surprise gift.
誕生日を祝う,B,6,わくわくする！,楽しみ！,ドキドキする！,楽しみです！,超楽しみ！,Can’t wait!,Excited!,Awesome!,Yay!,I’m happy!,You’re the best!,Excited to see it!,Can’t wait.,Looking forward to it.,Woo-hoo!
電車で席を譲る,A,1,どうぞ、お掛けください。,どうぞ座ってください。,どうぞお座りください。,よろしければお掛けください。,座ってどうぞ。,Please take this seat.,"Sit here, please.",You can have my seat.,Take this seat.,Please sit.,"Here, have my seat.",Feel free to sit here.,You can take my seat.,"Have a seat, please.",Let me give you my seat.
電車で席を譲る,B,2,ありがとうございます、助かります。,ありがとう、助かります。,感謝します、助かります。,ありがとうございます、助かります。,ありがたいです。,"Thank you, that helps.",Thanks a lot.,Thank you very much.,Appreciate it.,Thank you.,"Thanks, that’s very kind.","Thank you, I appreciate it.",Thank you so much.,"That’s very generous, thank you.","Thank you, that’s helpful."
電車で席を譲る,A,3,揺れるので気をつけて。,揺れるから気をつけてね。,揺れるから注意してね。,揺れますのでお気をつけください。,揺れるよ。,"The train shakes, be careful.",It may shake.,"Careful, train moves.",Train is bumpy.,Hold on tight.,It gets a bit shaky.,The train can jolt.,It’s a rough ride sometimes.,Train might sway.,Watch the bumps.
電車で席を譲る,B,4,はい、大丈夫です。,うん、大丈夫。,大丈夫です。,はい、大丈夫です。,平気！,"I will, thanks.",Okay.,I’m okay.,I’ll watch out.,Yes.,"I’ll hold on, thanks.",Got it.,I’ll be careful.,I’ll steady myself.,Will do.
電車で席を譲る,A,5,他に荷物お持ちしましょうか？,荷物持ちましょうか？,荷物手伝おうか？,他にお荷物お持ちしましょうか？,荷物持とうか？,Need help with bags?,Bags okay?,Want bag help?,Need anything?,Bags fine?,Need help with your bags?,Want me to hold anything?,Need a hand with your luggage?,Any help with bags?,Bag assistance?
電車で席を譲る,B,6,いえ、大丈夫ですよ。,大丈夫です。,大丈夫！,いえ、大丈夫です。,大丈夫～。,I’m fine.,Yes.,"No, thanks.",All good.,Fine.,"No, I’m good.","I’m okay, thanks.","I’m fine, really.","No need, thanks.",I’m alright.
PCトラブル相談,A,1,プリンタが動かないんだ。,プリンターが動かない。,プリンタ壊れた。,プリンタが動作しません。,プリンタ動かん。,My printer won’t work.,Printer not working.,Printer problem.,Can’t print.,Printer broken?,My printer’s acting up.,Printer refuses to work.,I can’t get the printer going.,Printer’s not cooperating.,Printing fails every time.
PCトラブル相談,B,2,ケーブルはちゃんと刺さってる？,ケーブル刺さってる？,ケーブル大丈夫？,ケーブルはきちんと接続されていますか？,ケーブルささってる？,Is the cable in?,Cable OK?,Plug connected?,Check cable?,Cable inserted?,Is the USB plugged in tight?,Cable seated properly?,Check the connection first?,Is the cord fully in?,Cable plugged?
PCトラブル相談,A,3,うん、でもエラーが出る。,うん、でもエラー出る。,刺さってるけどエラー。,はい、しかしエラーが表示されます。,刺さってるけどエラー出る。,"Yes, but it shows error.","Yes, still error.","Yes, error message.","Checked, but error.","Yup, yet error.","Yeah, but I’m getting an error.","It is, still errors.",Done—still error.,"Yes, but error pops up.","Yup, yet error."
PCトラブル相談,B,4,ドライバー更新してみようか。,ドライバ更新してみよ。,ドライバーアップデート試そう。,ドライバーを更新してみましょうか。,ドライバ更新やってみ？,Let’s update the driver.,Try driver update.,Update software.,Update driver.,Driver update maybe.,Maybe update the driver.,Let’s run a driver update.,Might need new drivers.,Try reinstalling the driver.,Driver update could fix it.
PCトラブル相談,A,5,やり方教えてくれる？,やり方教えて。,方法教えて？,手順を教えていただけますか？,やり方プリーズ。,Teach me how?,Help me?,Show me.,Need guidance.,Explain?,Can you walk me through it?,Show me how?,Help me out?,Guide me?,Walk me through?
PCトラブル相談,B,6,任せて！,任せて。,OK任せて！,私に任せてください！,まかせろ！,Sure!,Okay.,Will do.,I’ll help.,Sure.,Absolutely.,No problem.,Sure thing.,Got you.,Happy to.
勉強会の予定,A,1,期末テスト前に勉強会しよう。,テスト前、勉強会しよ！,期末前に勉強会しない？,期末テストの前に勉強会を開きましょう。,テスト前、勉強会やろう。,Let’s have a study group before finals.,Study together for the exam?,Want a study meeting?,Group study before test?,How about study group?,We should set up a study session before finals.,Want to do a group study for the exam?,Let’s organize a study group ahead of finals.,Thinking of a study meetup before the test.,Should we schedule a study group?
勉強会の予定,B,2,いいね、いつ集まる？,いいね、いつにする？,いいね、いつ集まる？,いいですね、いつ集まりますか？,いいね、いつ？,Good idea. When?,Yes. What day?,Sure. When gather?,Sounds good.,Okay! When?,Totally. When works?,Great idea. What time?,I’m in. When should we meet?,Sounds good—when?,Sure! When’s good?
勉強会の予定,A,3,金曜の放課後がいいかな。,金曜放課後どう？,金曜放課後どうかな？,金曜日の放課後が良いかと思います。,金曜放課後で。,Friday after school.,Friday PM.,After school Friday.,Friday after classes.,"Friday, after school.",Friday after school?,Friday right after class.,How about Friday afternoon?,Friday after school.,Friday once classes end.
勉強会の予定,B,4,私も空いてるよ。,私もOK。,私も大丈夫！,私も空いています。,私もいける。,I’m free.,Works.,Okay.,Fine with me.,I can.,I’m open then.,Perfect.,Works for me.,Count me in.,That suits me.
勉強会の予定,A,5,教室を予約しておくね。,教室取っとく。,教室確保しとく。,教室を予約しておきますね。,教室押さえとく。,I’ll book a room.,I’ll get a classroom.,I’ll reserve space.,I book the room.,Reserve classroom.,I’ll book a classroom.,I’ll snag us a room.,I’ll reserve a classroom.,I’ll lock down a room.,I’ll book the space.
勉強会の予定,B,6,助かる！,ありがと！,助かるよ！,助かります！,ありがたい！,Thanks!,Great.,Nice.,Thanks.,Appreciate it.,"Awesome, thanks.",Appreciate it.,Lifesaver.,Thanks a bunch.,"Great, see you then."
天気を確認,A,1,明日のピクニック、雨降るかな？,明日ピクニック雨？,明日雨降る？,明日のピクニック、雨が降るでしょうか？,明日雨かな？,Will it rain for tomorrow’s picnic?,Picnic tomorrow—rain?,Weather for picnic?,Think it’ll rain tomorrow?,Is rain coming for picnic?,You think it’ll rain during tomorrow’s picnic?,Any rain on the radar for our picnic?,Weather check for tomorrow?,Think we’ll get rained on tomorrow?,Any chance of rain during the picnic?
天気を確認,B,2,天気予報では曇りのち晴れだよ。,天気予報は曇り後晴れ。,予報は曇りのち晴れ。,天気予報によると曇りのち晴れです。,曇りのち晴れだよ。,Forecast says cloudy then sunny.,"Cloudy, later sunny.",Cloud then sun.,Forecast: cloudy to sunny.,"Says no, just clouds.",Forecast says cloudy turning sunny.,"Looks like clouds early, sun later.","Cloudy morning, sunny afternoon.",Forecast says mostly dry.,Pretty low—clouds then sun.
天気を確認,A,3,傘はいらなさそうだね。,傘いらなそう。,傘不要かな。,傘はいらなさそうですね。,傘いらんかな。,No umbrella needed?,Umbrella not necessary?,Skip umbrella?,Good.,Great.,Guess we can skip big umbrellas.,Umbrella optional then.,Nice—less gear to carry.,Sweet.,Good to know.
天気を確認,B,4,念のため折りたたみ持っていこう。,念のため折り畳み持とう。,折りたたみ傘持っとこう。,念のため折りたたみ傘を持って行きましょう。,折りたたみ持とうね。,Maybe take a small one.,Bring foldable just in case.,Take small one.,Small umbrella anyway.,Bring mini umbrella.,"I’ll toss a compact one in, just in case.",I’ll pack a travel one anyway.,Still bringing a small umbrella.,I’ll stash a tiny umbrella though.,I’ll keep a compact umbrella handy.
天気を確認,A,5,了解、準備しておく。,OK準備する。,わかった準備する。,了解しました、準備しておきます。,わかった準備しとく。,"Okay, I’ll pack it.",Got it.,Sure.,Okay.,Will do.,Good call.,Same here.,Smart.,I will too.,Same plan.
天気を確認,B,6,楽しみだね！,楽しみ！,待ち遠しい！,楽しみですね！,楽しみだ～！,Can’t wait!,Excited!,Looking forward.,Fun ahead!,Yay!,Can’t wait!,Gonna be fun.,Excited already.,Picnic time!,Looking forward to it.
服装を決める,A,1,今日の最高気温25度だって。,今日25度まで上がるって。,最高25度らしいよ。,今日は最高気温が25度だそうです。,今日25℃らしい。,High is 25°C today.,It will be 25 degrees.,Today’s top is 25.,Temperature reaches 25°C.,High temp 25 today.,It’s supposed to hit 25 degrees today.,High’s around 25°C today.,Forecast says twenty-five at the max.,We’re looking at 25 degrees later.,High temp’s 25 today.
服装を決める,B,2,じゃあ半袖でいいかな？,半袖でいい？,半袖でOK？,では半袖でも大丈夫でしょうか？,半袖でいいかな。,So short sleeves are okay?,Short sleeves?,I’ll wear T-shirt.,Short sleeve fine.,T-shirt OK?,So T-shirts are fine?,Short sleeves then?,I’ll just wear a tee.,T-shirt weather!,Shorts and a tee then?
服装を決める,A,3,朝は涼しいから薄手の上着持とう。,朝涼しいし薄い上着持とう。,朝寒いから軽い上着持って行こ。,朝は涼しいので薄手の上着を持ちましょう。,朝は涼しいし薄い上着持とうか。,Morning is cool; take a light jacket.,Bring thin coat for morning.,Take light jacket early.,"Morning cool, jacket needed.",Light jacket for morning.,"Yeah, but grab a light jacket for the cool morning.",Take a thin layer for the morning chill.,Bring a light jacket early on.,Morning’s brisk; take a jacket.,"Maybe, but layer with a light jacket in the morning."
服装を決める,B,4,なるほど。,了解。,わかった。,なるほど、承知しました。,OK。,Good idea.,Okay.,Sure.,Right.,Alright.,Good call.,Will do.,Got it.,Okay.,Sounds sensible.
服装を決める,A,5,帽子もあった方がいいかも。,帽子も必要かも。,帽子持っとく？,帽子もあった方が良いかもしれません。,帽子もいるかも。,"Maybe a hat, too.",Also a hat.,Hat could help.,"Hat, too.",Don’t forget hat.,"A hat might be smart, too.",Maybe bring a cap.,Hat wouldn’t hurt.,"Hat’s a good idea, too.",Don’t forget a hat.
服装を決める,B,6,忘れないようにする。,忘れないよ。,忘れないね。,忘れないようにします。,忘れない。,I won’t forget.,Got it.,Yes.,I won’t.,I won’t.,I’ll pack one.,Sure thing.,True.,I’ll remember.,I won’t.
コンビニでバーコード支払い,A,1,支払いはこのバーコードでできますか？,これ、バーコード決済使えますか？,このコードで支払えます？,このバーコードでお支払い可能ですか？,バーコード払い大丈夫？,Can I pay with this barcode?,Can I use barcode pay?,Can I pay using this code?,Is barcode payment OK?,Barcode payment fine?,Can I settle with this barcode?,Is it cool if I pay with this code?,Mind if I use barcode pay?,Okay to pay with this barcode?,Can I just scan this code to pay?
コンビニでバーコード支払い,B,2,はい、ご利用いただけます。,ええ、使えますよ。,はい、使えます。,ご利用可能です。,大丈夫ですよ。,"Yes, you can.","Sure, you can.","Yes, it works.",It’s possible.,That’s fine.,"Absolutely, that works.","Sure thing, no problem.","Yeah, that’s accepted.","All good, go ahead.",Works just fine.
コンビニでバーコード支払い,A,3,ポイントも付きますか？,ポイントたまります？,ポイント付きます？,ポイントは付きますか？,ポイント入る？,"Do I get points, too?",Will points add?,Do points count?,Will I earn points?,Points come?,Does it still earn points?,Will I rack up points?,Do I still get points with that?,Will it credit my points?,Points apply with this?
コンビニでバーコード支払い,B,4,はい、通常通り付きます。,もちろん、付きます。,ええ、付きますよ。,はい、通常ポイント付きます。,もちろんポイント入ります。,"Yes, same points.","Yes, of course.","Sure, points apply.","Yes, normal points.","Yes, points added.","Yep, you’ll get the usual points.","For sure, points count.","Absolutely, points still rack up.","Yep, standard points.",You’ll earn points as normal.
コンビニでバーコード支払い,A,5,じゃあお願いします。,ではお願いします。,お願いします。,それでお願いします。,お願いしますね。,Then please.,"Okay, please.",Please do.,"That’s fine, please.","Please, thanks.","Great, let’s do it.","Cool, go ahead.","Sure, ring it up.","Sounds good, thanks.","All right, let’s proceed."
コンビニでバーコード支払い,B,6,かしこまりました。,承知しました。,了解です。,では決済しますね。,はい、処理します。,Certainly.,Understood.,Okay.,I’ll process it.,Got it.,You got it.,Will do.,"All right, processing.","No problem, processing.","All set, scanning now."
公園でボールを借りる,A,1,ボール貸してもらえますか？,すみません、ボール借りてもいい？,そのボール貸して？,ボールをお借りできますか？,ボールちょっと貸してー。,Could I borrow your ball?,May I borrow the ball?,Can I use that ball?,Could I get the ball?,"Ball loan, please?",Mind if I borrow your ball?,"Hey, can I snag that ball for a bit?",Could I use your ball for a sec?,Any chance I could borrow the ball?,Think I could grab that ball for a minute?
公園でボールを借りる,B,2,いいよ、どうぞ。,もちろん、どうぞ。,いいですよ。,構いませんよ。どうぞ。,どうぞー。,"Sure, go ahead.","Yes, take it.",Of course.,"No problem, go ahead.",Here you are.,"Yeah, no worries.","Sure thing, have at it.","Absolutely, take it.",Go for it.,Knock yourself out.
公園でボールを借りる,A,3,10分後に返します。,すぐ返すね、10分だけ。,10分で返すよ。,10分ほどでお返しします。,10分後返す！,I’ll return it in ten minutes.,"Just ten minutes, OK?",I’ll give it back in 10.,"Back in ten, okay?",Return after ten?,I’ll have it back in ten.,"Just need it for ten, cool?",I’ll drop it back in ten.,Give me ten and I’ll return.,I’ll bring it back in ten.
公園でボールを借りる,B,4,了解、ゆっくりどうぞ。,わかった、どうぞ。,いいよ、ゆっくり。,承知しました、ごゆっくり。,OK、いいよ。,"Okay, take your time.","Sure, no rush.",That’s fine.,"All right, enjoy.","Okay, fine.","Cool, no hurry.","All good, take your time.","No rush, have fun.","Sounds good, enjoy.","No problem, take your time."
公園でボールを借りる,A,5,ありがとう、助かる！,ありがとう！助かった。,サンキュー助かる！,ありがとうございます、助かります。,感謝！,"Thanks, that helps!",Thank you!,Thanks a lot!,"Thanks, really!",Big thanks!,"Thanks, you’re a lifesaver!","You rock, thanks!",Really appreciate it!,Thanks a ton!,"You’re awesome, thanks!"
公園でボールを借りる,B,6,どういたしまして！,いえいえ！,気にしないで！,どうぞお気になさらず。,いいよ！,You’re welcome!,No problem!,Anytime!,Don’t mention it!,Sure!,No worries at all!,Happy to help!,"Anytime, buddy!",No sweat!,My pleasure!
スマホを落とした,A,1,スマホ落としたかも！電話鳴らしてくれる？,スマホ失くした！鳴らして！,スマホどこかに落とした、着信お願い！,スマートフォンを落としました。呼び出してもらえますか？,スマホなくした、鳴らして！,I think I dropped my phone. Can you call it?,"I lost my phone—ring it, please!",Dropped my phone; can you dial it?,I lost my smartphone; could you ring it?,Phone lost—call it?,I might’ve dropped my phone—mind calling it?,Pretty sure I lost my phone; can you ring it?,Think I dropped my phone—could you give it a buzz?,Lost my phone somewhere; ring it for me?,Can you call my phone? I’ve misplaced it.
スマホを落とした,B,2,いいよ、今かけるね。,わかった、すぐかける。,OK、かけるね。,承知しました、今すぐ発信します。,よし、かけるよ。,"Sure, calling now.","Okay, I’ll call.","Alright, dialing.",I’ll ring it now.,Calling it now.,"Yeah, I’ll buzz it right now.","On it, calling.",Let me ring it.,I’ll give it a ring.,Dialing as we speak.
スマホを落とした,A,3,あ、バッグの中にあった！,あった！カバンに入ってた！,見つけた、カバンの中！,ありました！バッグの中でした。,あったわ！,"Oh, it was in my bag!",Found it—in my bag!,"Got it, in my bag!",It was inside my bag!,Found in bag!,"Oh man, it was in my bag!","Ha, in my bag after all!",Found it—bag pocket!,Turns out it was in my bag.,Bag goblins had it—found!
スマホを落とした,B,4,見つかって良かった！,見つかってよかったね。,よかった！,見つかって何よりです。,見つかって安心。,Glad you found it!,Good you found it.,Great!,Glad it’s found.,Good relief.,"Whew, glad it turned up!","Awesome, crisis averted!",Thank goodness you found it!,"Sweet, all good now!",Nice save!
スマホを落とした,A,5,手間かけてごめんね。,迷惑かけてごめん。,ありがとう、ごめんね。,お手数かけました、すみません。,ありがとね、すまん。,Sorry for the trouble.,Sorry to bother you.,"My bad, thanks.",Sorry about that.,Thanks and sorry.,Sorry for the false alarm.,"Thanks, and sorry for that.",My bad for the scare.,Sorry for the hassle.,Appreciate it—sorry!
スマホを落とした,B,6,気にしないで！,大丈夫だよ！,いいよ気にしない！,お気になさらず！,平気！,Don’t worry!,It’s fine!,No worries!,No problem!,All good!,No biggie!,"All good, don’t sweat it!",No trouble at all!,You’re fine!,No sweat!
床屋を予約する,A,1,明日カット予約できますか？,明日髪切れます？,明日予約空いてますか？,明日カットの予約は取れますか？,明日切れる？,Can I book a haircut for tomorrow?,Is a cut available tomorrow?,Can I get a cut tomorrow?,Any slot for a haircut tomorrow?,Haircut tomorrow possible?,Could I grab a haircut spot tomorrow?,Any chance of a cut tomorrow?,Think I could book a cut for tomorrow?,Got room for a cut tomorrow?,Can you fit me in tomorrow for a cut?
床屋を予約する,B,2,午後2時なら空いてます。,14時なら大丈夫です。,2時なら空きますよ。,午後2時に空きがございます。,2時に空いています。,We have 2 p.m. open.,2 p.m. is free.,Two o’clock works.,Slot at 2 p.m.,2 p.m. available.,I’ve got a 2 p.m. open.,Two in the afternoon is free.,I can do 2 p.m.,There’s space at two.,Two o’clock is open.
床屋を予約する,A,3,では2時でお願いします。,じゃあ2時で。,2時お願いします。,それでは14時でお願いします。,2時でOK。,"Then 2 p.m., please.","Okay, 2 p.m.","2 p.m., please.",I’ll take 2 p.m.,Two is fine.,"Great, 2 p.m. works.","Sounds good, 2 p.m.",Book me for two.,"Two it is, thanks.",Let’s set it for two.
床屋を予約する,B,4,お名前伺ってもよろしいですか？,お名前をお願いします。,お名前どうぞ。,お客様のお名前を教えてください。,お名前は？,May I have your name?,"Your name, please?",Name?,Can I get your name?,"Name, please?",Could I have your name?,What’s the name for the booking?,Name for the appointment?,Who should I book it under?,Name on the reservation?
床屋を予約する,A,5,田中です。,田中と言います。,田中ですー。,田中でお願いします。,田中です。よろしく。,Tanaka.,My name is Tanaka.,"Tanaka, please.",It’s Tanaka.,Tanaka.,Tanaka.,Tanaka here.,Booking under Tanaka.,Just Tanaka.,Put it as Tanaka.
床屋を予約する,B,6,ご予約承りました。,予約完了です。,かしこまりました。,では予約入れました。,承知しました。,Your booking is set.,Appointment made.,Booked.,All set.,Reservation done.,You’re all booked for 2 p.m.,You’re on the schedule.,Got you in at two.,You’re confirmed for 2 p.m.,You’re set for 2 p.m.
カフェでWi-Fiを聞く,A,1,Wi-Fiのパスワード教えてもらえますか？,Wi-Fiのパス教えて？,Wi-Fiパスワードありますか？,Wi-Fiパスワードを教えていただけますか？,Wi-Fiのコード教えて。,Could I have the Wi-Fi password?,"Wi-Fi password, please?",Do you have a Wi-Fi pass?,Can you tell me the Wi-Fi password?,What’s the Wi-Fi code?,Could you share the Wi-Fi password?,Mind giving me the Wi-Fi pass?,What’s the Wi-Fi password here?,"Hey, got the Wi-Fi code?",Can I grab the Wi-Fi password?
カフェでWi-Fiを聞く,B,2,レシートに印刷されています。,レシートに書いてあります。,パスはレシートです。,パスワードはレシートにございます。,レシートにあるよ。,It’s printed on your receipt.,Check your receipt.,It’s on the receipt.,Password’s on the receipt.,See the receipt.,You’ll find it on your receipt.,It’s listed on the receipt.,Receipt has the password.,Just look at your receipt.,It’s on the slip.
カフェでWi-Fiを聞く,A,3,あ、確認してみます。,了解、見てみます。,OK、見てみる。,ありがとうございます、確認します。,わかりました、見るね。,"Oh, I’ll check.","Okay, I’ll look.","Got it, checking.","Thanks, I’ll check.","Will do, looking.","Alright, I’ll take a look.","Cool, I’ll check it.","Great, I’ll look now.","Sounds good, checking.","Sure thing, I’ll look."
カフェでWi-Fiを聞く,B,4,うまく繋がらなければ教えてください。,もし繋がらなければ言ってください。,繋がらなければ声かけてください。,接続できなければお知らせください。,ダメなら言ってね。,Let me know if it doesn’t work.,Tell me if it won’t connect.,"If it fails, tell me.",Please let us know if it fails.,Say if it doesn’t connect.,"If it’s glitchy, let me know.",Give me a shout if it won’t connect.,Just holler if it fails.,"If it acts up, tell me.",Flag me if it won’t work.
カフェでWi-Fiを聞く,A,5,ありがとうございます！,助かります！,サンキュー！,ありがとうございます。,感謝です！,Thank you!,Big thanks!,Thanks a lot!,Much appreciated!,Thanks!,Thanks so much!,Really appreciate it!,"Cheers, thanks!","You’re awesome, thanks!","Thanks, appreciate it!"
カフェでWi-Fiを聞く,B,6,どういたしまして。,いえいえ。,ごゆっくり！,どうぞごゆっくり。,どういたしましてー。,You’re welcome.,No problem.,Enjoy!,My pleasure.,Sure thing.,No worries.,Anytime.,Have a good one!,Glad to help.,Happy browsing!
集合時間を決める,A,1,何時に待ち合わせる？,何時集合にする？,何時に会う？,待ち合わせ時間どうする？,集合何時？,What time should we meet?,What time to gather?,When do we meet?,What time to meet?,Meet when?,What time do you want to meet up?,When should we link up?,What time works for the meet?,When do you wanna meet?,What time are we meeting?
集合時間を決める,B,2,11時はどう？,11時でいい？,11時集合でどう？,11時はいかがですか？,11時でOK？,How about eleven?,Eleven OK?,Meet at eleven?,Is eleven fine?,Eleven good?,Eleven sound good?,Eleven work?,Let’s do eleven?,Eleven alright?,Eleven o’clock okay?
集合時間を決める,A,3,いいね、その時間で。,OK、その時間で。,それで決まり！,いいですね、その時間で。,それでいこう！,Sounds good.,"Okay, that time.","Good, done.",Fine by me.,Let’s do it.,Works for me.,That works.,Perfect.,Sure thing.,Eleven it is.
集合時間を決める,B,4,場所は駅前でいい？,場所は駅前で？,駅前集合？,場所は駅前でよろしいですか？,駅前でOK？,Station front okay?,Meet in front of station?,Station front?,Is station front okay?,Station okay?,Station entrance good?,Front of the station alright?,Meet outside the station?,Station front work?,Station front sound good?
集合時間を決める,A,5,うん、わかりやすいね。,OK、わかりやすい。,いいね、そこにしよう。,はい、わかりやすいです。,了解、そこで！,"Yes, easy to find.","Okay, easy spot.","Good, let’s do that.","Yes, clear spot.","Got it, there!","Yeah, simple enough.","Perfect, easy to find.","Cool, that’s clear.","Yep, sounds easy.","Great, easy landmark."
集合時間を決める,B,6,じゃあ明日よろしく！,じゃあ明日ね！,明日よろしく！,では明日お願いします！,明日ね！,See you tomorrow then!,"Tomorrow, see you!",See you tomorrow!,"Alright, tomorrow!",See you then!,Catch you tomorrow!,See ya tomorrow!,Till tomorrow!,"See you tomorrow, cool!",Meet you tomorrow!
ゴミ出しを忘れた,A,1,ゴミ出し忘れた！,しまった、ゴミ出してない！,ゴミ捨て忘れたよ。,ゴミを出し忘れました！,ゴミ出してない！,I forgot to take out the trash!,Forgot the trash!,I didn’t take trash out!,Missed trash day!,Trash not out!,I totally forgot trash day!,I spaced on the trash!,"Ugh, missed putting trash out!",I skipped trash accidentally!,Trash day slipped my mind!
ゴミ出しを忘れた,B,2,まだ間に合うかも。急ごう！,まだ間に合う、急いで！,急げば間に合うかも！,まだ回収前かもしれません、急ぎましょう！,今ならセーフかも！,We might still make it—hurry!,"Still time, hurry!",Might still make it—let’s go!,"Maybe in time, hurry!",We can still make it!,We could still catch the truck—move!,There’s still a chance—let’s dash!,Maybe we can catch them—hurry up!,We might beat the truck—run!,Could still make pickup—let’s hurry!
ゴミ出しを忘れた,A,3,袋持ってくる！,袋取ってくる！,袋取ってくるわ！,今袋を持ってきます！,袋取ってくるね！,I’ll grab the bag!,Getting the bag!,I’ll get the bag!,I’ll fetch the bag!,"Bag, coming!",I’ll snag the bag!,I'll run and get the bag!,Let me grab the bag real quick!,I'll get that bag now!,Bag coming right up!
ゴミ出しを忘れた,B,4,玄関開けとくね。,ドア開けとく！,入口開けとく！,玄関を開けておきますね。,入口開けとくね！,I’ll hold the door.,Door’s open!,I’ll keep door open.,I’ll open the door.,Door’s ready!,I got the door!,Door’s already open!,Holding the door!,Door’s propped open!,Door’s wide open!
ゴミ出しを忘れた,A,5,よし、間に合った！,間に合ったっぽい！,セーフ！,なんとか間に合いました！,セーフだ！,Made it!,Looks like we made it!,Safe!,We made it in time!,Just in time!,"Phew, made it!",We beat the truck!,Saved it!,We’re in the clear!,Just caught it!
ゴミ出しを忘れた,B,6,次から気をつけようね。,次は忘れないように！,次は注意しよう！,次回は忘れないようにしましょう。,次回気をつけよ。,Let’s be careful next time.,Don’t forget next time.,Let’s remember next time.,We’ll watch it next time.,Be careful next time.,"Next time, set a reminder.",Let’s not miss it again.,We’ll nail it next time.,Let’s set an alarm next time.,Remember it next time.
宅配便を受け取る,A,1,荷物届いていますか？,宅配届いてます？,荷物来てる？,私は荷物を受け取っていますか？,荷物着いてる？,Has my package arrived?,Is my parcel here?,Did my delivery come?,Is my package in?,Package arrived?,Has my package shown up?,Package get here yet?,My parcel in?,Package show up?,Did my package land?
宅配便を受け取る,B,2,はい、この箱ですね。サインお願いします。,はい、こちらの箱です。サインを。,はい、これです。サインください。,はい、こちらの荷物です。ご署名をお願いします。,こちらです。サインを。,"Yes, this box. Please sign.","Yes, this one. Signature, please.",Here it is; sign here.,"Yes, your box—please sign.",This is it; sign please.,"Yep, this is yours—need a signature.","Here you go, sign here please.","Yup, your parcel—just sign.",This one’s yours—signature needed.,Package’s here—mind signing?
